ts	phase	decision	why	evidence	result
2026-09-19	baseline	Split implementation into separate copy, method and accessibility chunks	Small verified units allow resuming after usage stops	docs/implementation-plan.md	plan saved
2026-09-19	baseline	Preserve new findings cards and real correction contact	The project advanced since the review	app/src/routes/home.tsx; app/src/lib/copy.ts	baseline inspected
2026-09-19	baseline	Run required checks before integrating changes	A known green baseline separates regressions from existing faults	package.json	lint, typechecks, secrets check and 68 tests passed
2026-09-19	integration	Keep the published contract and explain unavailable readings honestly	The current model_error value includes missing judgements and cannot distinguish unfinished work from request failure	scripts/publish/build.ts:216	copy correction selected; no pipeline change
2026-09-19	integration	Describe headline cost as an estimate for the actual assessed pair count	Cost and complete-record claims must remain accurate while data changes	app/src/lib/headlines.ts	scoped Biome check passed
2026-09-19	tracking	Create Linear project with BOU-156 to BOU-159 under team Boundfor	Linear is the source of truth and had no entry for this repo	https://linear.app/boundforco/project/did-they-answer-civic-explainer-5a1d76f4fa6e	created with user authorization
2026-09-19	verification	Suppress the focus ring on whole-section hash targets with one CSS rule instead of moving 16 ids onto headings	Smallest change that removes a ring around thousands of pixels; headings and controls keep theirs	app/src/styles/global.css	retested: outline-style none on section, solid on h1
2026-09-19	verification	Scroll to top at navigation time and ignore scroll events after history moves	Settle-time scrollTo pulled readers back; unmount clamp overwrote the saved position	app/src/components/route-navigation.tsx	retested: 1757 -> 0 -> back 1757
2026-09-19	verification	Leave populated role=status regions and hand them to the screen-reader pass	Whether entry announcements are a problem cannot be judged without assistive technology	BOU-158	deferred, not claimed
2026-09-19	release	Deploy main 39fda42 to Cloudflare as version 16758148-2942-4260-b0d9-058ce5ef66af	User asked; no pipeline or contract change so only 3 app assets uploaded, 837 data and font assets unchanged	https://did-they-answer.matt-bdf.workers.dev	live check: new home h1, both chart counts, one notice, /method#validation focuses its section, no console errors; BOU-158 and BOU-159 still open
2026-09-19	copy	Apply a subset of ASD-STE100 with the no-ai-slop edit, not the full standard	The 900-word dictionary was written for maintenance manuals and would flatten the site voice; sentence length, tense, semicolon, one-term and active-voice rules help a public reader	BOU-161	source quotes, CC attribution and the vendor word "literally" left unchanged; third-party linter not run
2026-09-19	release	Deploy main 2a57b95 (plain-language copy) to Cloudflare as version 63a29a27-95f6-4662-b1ce-be417c4ce54b	User asked after merging PR 3; 2 app assets uploaded, 838 unchanged	https://did-they-answer.matt-bdf.workers.dev	live check: new intro, heading and notice wording on home; vendor note, 50 in 100 and echo sentence on method; findings link label fixed; no console errors; one missed present-perfect sentence found on method and fixed in PR 4
2026-09-19	BOU-162	Show party as a plain text label now; logos and colours approved in principle but blocked until each party gives written permission	A party name is a fact of the record; logos are trademarks outside Parliament's CC BY licence	docs/sources.md; Linear BOU-162	text label built; logo work not started
2026-09-19	BOU-162	Resolve party as at the date asked from a hand-checked table, not a fetcher	88 people; today's party is wrong for Kapa-Kingi and Tana; a wrong label is worse than none so unknown gives no label	data/labels/party-membership.tsv; scripts/question/party.ts	dated spells, tests for change, gap and unknown
2026-09-19	BOU-162	Show the minister's party on the reply side	Same treatment as the asker, as at the date asked	scripts/publish/build.ts	ministerParty in the contract
2026-09-19	BOU-162	Never total, score or rank readings by party	Same reason named ministers are never ranked: an unchecked model's output would become a verdict, and a misleading account of proceedings can be a contempt	docs/sources.md	rule added to CLAUDE.md
